FechaInicio,FechaFin,ClaveEntidad,Nivel
15/06/2020,21/06/2020,1,Aguascalientes,3
15/06/2020,21/06/2020,2,Baja California,0
15/06/2020,21/06/2020,3,Baja California Sur,3
15/06/2020,21/06/2020,4,Campeche,3
15/06/2020,21/06/2020,5,Chiapas,0
15/06/2020,21/06/2020,6,Chihuahua,3
15/06/2020,21/06/2020,7,CDMX,0
15/06/2020,21/06/2020,8,Coahuila,3
15/06/2020,21/06/2020,9,Colima,0
15/06/2020,21/06/2020,10,Durango,3
15/06/2020,21/06/2020,11,Guanajuato,3
15/06/2020,21/06/2020,12,Guerrero,0
15/06/2020,21/06/2020,13,Hidalgo,0
15/06/2020,21/06/2020,14,Jalisco,3
15/06/2020,21/06/2020,15,EdoMex,0
15/06/2020,21/06/2020,16,Michoacán,3
15/06/2020,21/06/2020,17,Morelos,0
15/06/2020,21/06/2020,18,Nayarit,0
15/06/2020,21/06/2020,19,Nuevo León,3
15/06/2020,21/06/2020,20,Veracruz,0
15/06/2020,21/06/2020,20,Oaxaca,0
15/06/2020,21/06/2020,21,Puebla,0
15/06/2020,21/06/2020,22,Querétaro,0
15/06/2020,21/06/2020,23,Quintana Roo,3
15/06/2020,21/06/2020,24,San Luis Potosí,3
15/06/2020,21/06/2020,25,Sinaloa,0
15/06/2020,21/06/2020,26,Sonora,0
15/06/2020,21/06/2020,27,Tabasco,3
15/06/2020,21/06/2020,28,Tamaulipas,3
15/06/2020,21/06/2020,29,Tlaxcala,0
15/06/2020,21/06/2020,31,Yucatán,3
15/06/2020,21/06/2020,32,Zacatecas,3
