FechaInicio,FechaFin,ClaveEntidad,Estado,Nivel
07/12/2020,20/12/2020,1,Aguascalientes,2
07/12/2020,20/12/2020,2,Baja California,3
07/12/2020,20/12/2020,3,Baja California Sur,2
07/12/2020,20/12/2020,4,Campeche,0
07/12/2020,20/12/2020,5,Chiapas,0
07/12/2020,20/12/2020,6,Chihuahua,2
07/12/2020,20/12/2020,7,CDMX,3
07/12/2020,20/12/2020,8,Coahuila,2
07/12/2020,20/12/2020,9,Colima,1
07/12/2020,20/12/2020,10,Durango,2
07/12/2020,20/12/2020,11,Guanajuato,2
07/12/2020,20/12/2020,12,Guerrero,2
07/12/2020,20/12/2020,13,Hidalgo,2
07/12/2020,20/12/2020,14,Jalisco,2
07/12/2020,20/12/2020,15,EdoMex,3
07/12/2020,20/12/2020,16,Michoacán,2
07/12/2020,20/12/2020,17,Morelos,2
07/12/2020,20/12/2020,18,Nayarit,2
07/12/2020,20/12/2020,19,Nuevo León,2
07/12/2020,20/12/2020,20,Veracruz,0
07/12/2020,20/12/2020,20,Oaxaca,1
07/12/2020,20/12/2020,21,Puebla,2
07/12/2020,20/12/2020,22,Querétaro,2
07/12/2020,20/12/2020,23,Quintana Roo,2
07/12/2020,20/12/2020,24,San Luis Potosí,2
07/12/2020,20/12/2020,25,Sinaloa,2
07/12/2020,20/12/2020,26,Sonora,2
07/12/2020,20/12/2020,27,Tabasco,2
07/12/2020,20/12/2020,28,Tamaulipas,2
07/12/2020,20/12/2020,29,Tlaxcala,1
07/12/2020,20/12/2020,31,Yucatán,2
07/12/2020,20/12/2020,32,Zacatecas,3
06/07/2020,12/07/2020,1,Aguascalientes,2
06/07/2020,12/07/2020,2,Baja California,3
06/07/2020,12/07/2020,3,Baja California Sur,2
06/07/2020,12/07/2020,4,Campeche,2
06/07/2020,12/07/2020,5,Chiapas,3
06/07/2020,12/07/2020,6,Chihuahua,2
06/07/2020,12/07/2020,7,CDMX,2
06/07/2020,12/07/2020,8,Coahuila,3
06/07/2020,12/07/2020,9,Colima,3
06/07/2020,12/07/2020,10,Durango,2
06/07/2020,12/07/2020,11,Guanajuato,3
06/07/2020,12/07/2020,12,Guerrero,2
06/07/2020,12/07/2020,13,Hidalgo,2
06/07/2020,12/07/2020,14,Jalisco,2
06/07/2020,12/07/2020,15,EdoMex,3
06/07/2020,12/07/2020,16,Michoacán,2
06/07/2020,12/07/2020,17,Morelos,2
06/07/2020,12/07/2020,18,Nayarit,3
06/07/2020,12/07/2020,19,Nuevo León,3
06/07/2020,12/07/2020,20,Veracruz,3
06/07/2020,12/07/2020,20,Oaxaca,2
06/07/2020,12/07/2020,21,Puebla,3
06/07/2020,12/07/2020,22,Querétaro,2
06/07/2020,12/07/2020,23,Quintana Roo,2
06/07/2020,12/07/2020,24,San Luis Potosí,2
06/07/2020,12/07/2020,25,Sinaloa,3
06/07/2020,12/07/2020,26,Sonora,3
06/07/2020,12/07/2020,27,Tabasco,3
06/07/2020,12/07/2020,28,Tamaulipas,3
06/07/2020,12/07/2020,29,Tlaxcala,3
06/07/2020,12/07/2020,31,Yucatán,2
06/07/2020,12/07/2020,32,Zacatecas,2
03/08/2020,16/08/2020,1,Aguascalientes,2
03/08/2020,16/08/2020,2,Baja California,2
03/08/2020,16/08/2020,3,Baja California Sur,3
03/08/2020,16/08/2020,4,Campeche,2
03/08/2020,16/08/2020,5,Chiapas,2
03/08/2020,16/08/2020,6,Chihuahua,2
03/08/2020,16/08/2020,7,CDMX,2
03/08/2020,16/08/2020,8,Coahuila,3
03/08/2020,16/08/2020,9,Colima,3
03/08/2020,16/08/2020,10,Durango,3
03/08/2020,16/08/2020,11,Guanajuato,2
03/08/2020,16/08/2020,12,Guerrero,2
03/08/2020,16/08/2020,13,Hidalgo,3
03/08/2020,16/08/2020,14,Jalisco,3
03/08/2020,16/08/2020,15,EdoMex,2
03/08/2020,16/08/2020,16,Michoacán,3
03/08/2020,16/08/2020,17,Morelos,2
03/08/2020,16/08/2020,18,Nayarit,3
03/08/2020,16/08/2020,19,Nuevo León,3
03/08/2020,16/08/2020,20,Veracruz,3
03/08/2020,16/08/2020,20,Oaxaca,2
03/08/2020,16/08/2020,21,Puebla,3
03/08/2020,16/08/2020,22,Querétaro,2
03/08/2020,16/08/2020,23,Quintana Roo,2
03/08/2020,16/08/2020,24,San Luis Potosí,3
03/08/2020,16/08/2020,25,Sinaloa,2
03/08/2020,16/08/2020,26,Sonora,2
03/08/2020,16/08/2020,27,Tabasco,3
03/08/2020,16/08/2020,28,Tamaulipas,3
03/08/2020,16/08/2020,29,Tlaxcala,2
03/08/2020,16/08/2020,31,Yucatán,3
03/08/2020,16/08/2020,32,Zacatecas,3
15/06/2020,21/06/2020,1,Aguascalientes,2
15/06/2020,21/06/2020,2,Baja California,3
15/06/2020,21/06/2020,3,Baja California Sur,2
15/06/2020,21/06/2020,4,Campeche,2
15/06/2020,21/06/2020,5,Chiapas,3
15/06/2020,21/06/2020,6,Chihuahua,2
15/06/2020,21/06/2020,7,CDMX,3
15/06/2020,21/06/2020,8,Coahuila,2
15/06/2020,21/06/2020,9,Colima,3
15/06/2020,21/06/2020,10,Durango,2
15/06/2020,21/06/2020,11,Guanajuato,2
15/06/2020,21/06/2020,12,Guerrero,3
15/06/2020,21/06/2020,13,Hidalgo,3
15/06/2020,21/06/2020,14,Jalisco,2
15/06/2020,21/06/2020,15,EdoMex,3
15/06/2020,21/06/2020,16,Michoacán,2
15/06/2020,21/06/2020,17,Morelos,3
15/06/2020,21/06/2020,18,Nayarit,3
15/06/2020,21/06/2020,19,Nuevo León,2
15/06/2020,21/06/2020,20,Veracruz,3
15/06/2020,21/06/2020,20,Oaxaca,3
15/06/2020,21/06/2020,21,Puebla,3
15/06/2020,21/06/2020,22,Querétaro,3
15/06/2020,21/06/2020,23,Quintana Roo,2
15/06/2020,21/06/2020,24,San Luis Potosí,2
15/06/2020,21/06/2020,25,Sinaloa,3
15/06/2020,21/06/2020,26,Sonora,3
15/06/2020,21/06/2020,27,Tabasco,2
15/06/2020,21/06/2020,28,Tamaulipas,2
15/06/2020,21/06/2020,29,Tlaxcala,3
15/06/2020,21/06/2020,31,Yucatán,2
15/06/2020,21/06/2020,32,Zacatecas,2
22/06/2020,28/06/2020,1,Aguascalientes,2
22/06/2020,28/06/2020,2,Baja California,3
22/06/2020,28/06/2020,3,Baja California Sur,2
22/06/2020,28/06/2020,4,Campeche,2
22/06/2020,28/06/2020,5,Chiapas,3
22/06/2020,28/06/2020,6,Chihuahua,2
22/06/2020,28/06/2020,7,CDMX,3
22/06/2020,28/06/2020,8,Coahuila,2
22/06/2020,28/06/2020,9,Colima,2
22/06/2020,28/06/2020,10,Durango,2
22/06/2020,28/06/2020,11,Guanajuato,2
22/06/2020,28/06/2020,12,Guerrero,3
22/06/2020,28/06/2020,13,Hidalgo,2
22/06/2020,28/06/2020,14,Jalisco,2
22/06/2020,28/06/2020,15,EdoMex,3
22/06/2020,28/06/2020,16,Michoacán,2
22/06/2020,28/06/2020,17,Morelos,3
22/06/2020,28/06/2020,18,Nayarit,3
22/06/2020,28/06/2020,19,Nuevo León,2
22/06/2020,28/06/2020,20,Veracruz,3
22/06/2020,28/06/2020,20,Oaxaca,3
22/06/2020,28/06/2020,21,Puebla,3
22/06/2020,28/06/2020,22,Querétaro,3
22/06/2020,28/06/2020,23,Quintana Roo,2
22/06/2020,28/06/2020,24,San Luis Potosí,2
22/06/2020,28/06/2020,25,Sinaloa,3
22/06/2020,28/06/2020,26,Sonora,3
22/06/2020,28/06/2020,27,Tabasco,3
22/06/2020,28/06/2020,28,Tamaulipas,2
22/06/2020,28/06/2020,29,Tlaxcala,3
22/06/2020,28/06/2020,31,Yucatán,2
22/06/2020,28/06/2020,32,Zacatecas,2
29/06/2020,05/07/2020,1,Aguascalientes,2
29/06/2020,05/07/2020,2,Baja California,3
29/06/2020,05/07/2020,3,Baja California Sur,2
29/06/2020,05/07/2020,4,Campeche,2
29/06/2020,05/07/2020,5,Chiapas,2
29/06/2020,05/07/2020,6,Chihuahua,2
29/06/2020,05/07/2020,7,CDMX,2
29/06/2020,05/07/2020,8,Coahuila,2
29/06/2020,05/07/2020,9,Colima,3
29/06/2020,05/07/2020,10,Durango,2
29/06/2020,05/07/2020,11,Guanajuato,2
29/06/2020,05/07/2020,12,Guerrero,3
29/06/2020,05/07/2020,13,Hidalgo,3
29/06/2020,05/07/2020,14,Jalisco,2
29/06/2020,05/07/2020,15,EdoMex,3
29/06/2020,05/07/2020,16,Michoacán,2
29/06/2020,05/07/2020,17,Morelos,3
29/06/2020,05/07/2020,18,Nayarit,3
29/06/2020,05/07/2020,19,Nuevo León,3
29/06/2020,05/07/2020,20,Veracruz,2
29/06/2020,05/07/2020,20,Oaxaca,3
29/06/2020,05/07/2020,21,Puebla,3
29/06/2020,05/07/2020,22,Querétaro,2
29/06/2020,05/07/2020,23,Quintana Roo,2
29/06/2020,05/07/2020,24,San Luis Potosí,2
29/06/2020,05/07/2020,25,Sinaloa,3
29/06/2020,05/07/2020,26,Sonora,3
29/06/2020,05/07/2020,27,Tabasco,3
29/06/2020,05/07/2020,28,Tamaulipas,2
29/06/2020,05/07/2020,29,Tlaxcala,3
29/06/2020,05/07/2020,31,Yucatán,2
29/06/2020,05/07/2020,32,Zacatecas,2
13/07/2020,19/07/2020,1,Aguascalientes,2
13/07/2020,19/07/2020,2,Baja California,3
13/07/2020,19/07/2020,3,Baja California Sur,2
13/07/2020,19/07/2020,4,Campeche,2
13/07/2020,19/07/2020,5,Chiapas,3
13/07/2020,19/07/2020,6,Chihuahua,2
13/07/2020,19/07/2020,7,CDMX,2
13/07/2020,19/07/2020,8,Coahuila,3
13/07/2020,19/07/2020,9,Colima,3
13/07/2020,19/07/2020,10,Durango,2
13/07/2020,19/07/2020,11,Guanajuato,3
13/07/2020,19/07/2020,12,Guerrero,2
13/07/2020,19/07/2020,13,Hidalgo,2
13/07/2020,19/07/2020,14,Jalisco,2
13/07/2020,19/07/2020,15,EdoMex,3
13/07/2020,19/07/2020,16,Michoacán,2
13/07/2020,19/07/2020,17,Morelos,2
13/07/2020,19/07/2020,18,Nayarit,3
13/07/2020,19/07/2020,19,Nuevo León,3
13/07/2020,19/07/2020,20,Veracruz,3
13/07/2020,19/07/2020,20,Oaxaca,2
13/07/2020,19/07/2020,21,Puebla,3
13/07/2020,19/07/2020,22,Querétaro,2
13/07/2020,19/07/2020,23,Quintana Roo,2
13/07/2020,19/07/2020,24,San Luis Potosí,2
13/07/2020,19/07/2020,25,Sinaloa,3
13/07/2020,19/07/2020,26,Sonora,3
13/07/2020,19/07/2020,27,Tabasco,3
13/07/2020,19/07/2020,28,Tamaulipas,3
13/07/2020,19/07/2020,29,Tlaxcala,3
13/07/2020,19/07/2020,31,Yucatán,2
13/07/2020,19/07/2020,32,Zacatecas,2
20/07/2020,26/07/2020,1,Aguascalientes,2
20/07/2020,26/07/2020,2,Baja California,2
20/07/2020,26/07/2020,3,Baja California Sur,3
20/07/2020,26/07/2020,4,Campeche,2
20/07/2020,26/07/2020,5,Chiapas,2
20/07/2020,26/07/2020,6,Chihuahua,2
20/07/2020,26/07/2020,7,CDMX,2
20/07/2020,26/07/2020,8,Coahuila,3
20/07/2020,26/07/2020,9,Colima,3
20/07/2020,26/07/2020,10,Durango,2
20/07/2020,26/07/2020,11,Guanajuato,3
20/07/2020,26/07/2020,12,Guerrero,2
20/07/2020,26/07/2020,13,Hidalgo,3
20/07/2020,26/07/2020,14,Jalisco,3
20/07/2020,26/07/2020,15,EdoMex,2
20/07/2020,26/07/2020,16,Michoacán,2
20/07/2020,26/07/2020,17,Morelos,2
20/07/2020,26/07/2020,18,Nayarit,3
20/07/2020,26/07/2020,19,Nuevo León,3
20/07/2020,26/07/2020,20,Veracruz,3
20/07/2020,26/07/2020,20,Oaxaca,3
20/07/2020,26/07/2020,21,Puebla,3
20/07/2020,26/07/2020,22,Querétaro,3
20/07/2020,26/07/2020,23,Quintana Roo,3
20/07/2020,26/07/2020,24,San Luis Potosí,3
20/07/2020,26/07/2020,25,Sinaloa,2
20/07/2020,26/07/2020,26,Sonora,2
20/07/2020,26/07/2020,27,Tabasco,3
20/07/2020,26/07/2020,28,Tamaulipas,3
20/07/2020,26/07/2020,29,Tlaxcala,2
20/07/2020,26/07/2020,31,Yucatán,3
20/07/2020,26/07/2020,32,Zacatecas,3
27/07/2020,02/08/2020,1,Aguascalientes,2
27/07/2020,02/08/2020,2,Baja California,2
27/07/2020,02/08/2020,3,Baja California Sur,3
27/07/2020,02/08/2020,4,Campeche,2
27/07/2020,02/08/2020,5,Chiapas,2
27/07/2020,02/08/2020,6,Chihuahua,2
